Município;AIS;Natureza;Data;Hora;Dia da Semana;Meio Empregado;Gênero;Idade da Vítima;Escolaridade da Vítima;Raça da Vítima
Mombaça;AIS 13;LESAO CORPORAL SEGUIDA DE MORTE;2021-01-01;00:29:59;Sexta;Outros meios;Feminino;15;Ensino Fundamental Incompleto;Parda
Canindé;AIS 04;HOMICIDIO DOLOSO;2021-01-01;00:29:59;Sexta;Arma de fogo;Masculino;Não Informada;Ensino Fundamental Incompleto;Não Informada
Iguatu;AIS 10;HOMICIDIO DOLOSO;2021-01-01;03:00:00;Sexta;Arma branca;Masculino;16;Alfabetizado;Não Informada
Fortaleza;AIS 21;ROUBO SEGUIDO DE MORTE (LATROCINIO);2021-01-01;04:30:00;Sexta;Arma de fogo;Masculino;20;Ensino Fundamental Completo;Não Informada
Sobral;AIS 03;HOMICIDIO DOLOSO;2021-01-01;05:00:00;Sexta;Arma de fogo;Masculino;26;Alfabetizado;Não Informada
Paraipaba;AIS 23;HOMICIDIO DOLOSO;2021-01-01;05:40:00;Sexta;Arma de fogo;Feminino;26;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 17;HOMICIDIO DOLOSO;2021-01-01;06:49:59;Sexta;Arma de fogo;Masculino;30;Ensino Fundamental Completo;Não Informada
Itaitinga;AIS 25;HOMICIDIO DOLOSO;2021-01-01;11:25:00;Sexta;Arma de fogo;Masculino;50;Ensino Fundamental Incompleto;Não Informada
Pacatuba;AIS 24;HOMICIDIO DOLOSO;2021-01-01;13:49:59;Sexta;Arma de fogo;Masculino;32;Não Informada;Não Informada
Fortaleza;AIS 21;HOMICIDIO DOLOSO;2021-01-01;15:00:00;Sexta;Arma de fogo;Masculino;30;Ensino Fundamental Completo;Parda
Juazeiro do Norte;AIS 02;HOMICIDIO DOLOSO;2021-01-01;19:00:00;Sexta;Arma de fogo;Masculino;26;Ensino Médio Incompleto;Não Informada
Aracati;AIS 30;HOMICIDIO DOLOSO;2021-01-01;19:30:00;Sexta;Arma de fogo;Masculino;17;Ensino Fundamental Completo;Não Informada
Crato;AIS 02;HOMICIDIO DOLOSO;2021-01-02;01:00:00;Sábado;Arma de fogo;Masculino;22;Ensino Fundamental Completo;Não Informada
Fortaleza;AIS 06;HOMICIDIO DOLOSO;2021-01-02;05:30:00;Sábado;Outros meios;Masculino;72;Ensino Médio Completo;Não Informada
São Gonçalo do Amarante;AIS 23;HOMICIDIO DOLOSO;2021-01-02;05:40:00;Sábado;Arma branca;Masculino;29;Ensino Fundamental Completo;Branca
Missão Velha;AIS 02;HOMICIDIO DOLOSO;2021-01-02;07:30:00;Sábado;Arma de fogo;Masculino;31;Ensino Fundamental Incompleto;Não Informada
Pacatuba;AIS 24;HOMICIDIO DOLOSO;2021-01-02;09:26:59;Sábado;Arma de fogo;Masculino;19;Ensino Fundamental Completo;Não Informada
Santana do Acaraú;AIS 03;HOMICIDIO DOLOSO;2021-01-02;10:00:00;Sábado;Arma de fogo;Masculino;34;Alfabetizado;Não Informada
Eusébio;AIS 15;HOMICIDIO DOLOSO;2021-01-02;18:19:59;Sábado;Arma de fogo;Masculino;21;Ensino Fundamental Completo;Parda
Tianguá;AIS 27;FEMINICÍDIO;2021-01-02;18:29:59;Sábado;Arma branca;Feminino;47;Não Alfabetizado;Não Informada
Crato;AIS 02;HOMICIDIO DOLOSO;2021-01-02;18:40:00;Sábado;Arma de fogo;Masculino;34;Alfabetizado;Não Informada
Quixeré;AIS 01;HOMICIDIO DOLOSO;2021-01-02;18:40:00;Sábado;Arma de fogo;Masculino;21;Ensino Fundamental Completo;Não Informada
Itapajé;AIS 11;LESAO CORPORAL SEGUIDA DE MORTE;2021-01-02;19:00:00;Sábado;Arma branca;Masculino;41;Alfabetizado;Não Informada
Crato;AIS 02;HOMICIDIO DOLOSO;2021-01-02;20:30:00;Sábado;Arma de fogo;Masculino;27;Ensino Médio Incompleto;Parda
Juazeiro do Norte;AIS 02;HOMICIDIO DOLOSO;2021-01-02;22:30:00;Sábado;Arma de fogo;Masculino;16;Alfabetizado;Não Informada
Tejuçuoca;AIS 11;HOMICIDIO DOLOSO;2021-01-02;23:30:00;Sábado;Arma de fogo;Masculino;19;Ensino Médio Completo;Não Informada
Brejo Santo;AIS 32;HOMICIDIO DOLOSO;2021-01-02;23:40:00;Sábado;Arma de fogo;Masculino;42;Ensino Fundamental Incompleto;Não Informada
Tejuçuoca;AIS 11;HOMICIDIO DOLOSO;2021-01-03;09:00:00;Domingo;Outros meios;Masculino;Não Informada;Não Informada;Não Informada
Frecheirinha;AIS 03;HOMICIDIO DOLOSO;2021-01-03;11:30:00;Domingo;Arma de fogo;Masculino;18;Ensino Médio Incompleto;Parda
Fortaleza;AIS 19;HOMICIDIO DOLOSO;2021-01-03;11:34:59;Domingo;Arma de fogo;Masculino;50;Alfabetizado;Não Informada
Maracanaú;AIS 14;HOMICIDIO DOLOSO;2021-01-03;13:14:59;Domingo;Arma de fogo;Masculino;32;Ensino Médio Completo;Não Informada
Lavras da Mangabeira;AIS 34;HOMICIDIO DOLOSO;2021-01-03;15:00:00;Domingo;Arma branca;Masculino;18;Ensino Fundamental Incompleto;Não Informada
Várzea Alegre;AIS 34;FEMINICÍDIO;2021-01-03;17:30:00;Domingo;Arma branca;Feminino;31;Ensino Fundamental Incompleto;Não Informada
Pacajus;AIS 25;HOMICIDIO DOLOSO;2021-01-03;19:59:59;Domingo;Arma de fogo;Masculino;17;Alfabetizado;Não Informada
Fortaleza;AIS 20;HOMICIDIO DOLOSO;2021-01-03;20:30:00;Domingo;Arma de fogo;Masculino;18;Alfabetizado;Não Informada
Maracanaú;AIS 14;HOMICIDIO DOLOSO;2021-01-03;21:15:00;Domingo;Arma de fogo;Masculino;26;Alfabetizado;Parda
Nova Russas;AIS 07;HOMICIDIO DOLOSO;2021-01-03;21:29:59;Domingo;Arma de fogo;Feminino;18;Alfabetizado;Não Informada
Juazeiro do Norte;AIS 02;HOMICIDIO DOLOSO;2021-01-03;22:49:59;Domingo;Arma de fogo;Masculino;16;Ensino Fundamental Incompleto;Não Informada
