Município;AIS;Natureza;Data;Hora;Dia da Semana;Meio Empregado;Gênero;Idade da Vítima;Escolaridade da Vítima;Raça da Vítima
Cascavel;AIS 15;HOMICIDIO DOLOSO;2021-01-04;01:00:00;Segunda;Arma de fogo;Masculino;36;Ensino Fundamental Incompleto;Não Informada
Camocim;AIS 28;HOMICIDIO DOLOSO;2021-01-04;01:30:00;Segunda;Outros meios;Masculino;13;Ensino Fundamental Incompleto;Parda
Jucás;AIS 10;HOMICIDIO DOLOSO;2021-01-04;02:15:00;Segunda;Arma de fogo;Masculino;28;Ensino Fundamental Incompleto;Não Informada
Pentecoste;AIS 11;HOMICIDIO DOLOSO;2021-01-04;09:00:00;Segunda;Arma de fogo;Masculino;45;Não Informada;Não Informada
Crato;AIS 02;HOMICIDIO DOLOSO;2021-01-04;15:40:00;Segunda;Arma branca;Masculino;31;Ensino Médio Completo;Parda
Fortaleza;AIS 18;HOMICIDIO DOLOSO;2021-01-04;17:23:00;Segunda;Arma de fogo;Masculino;31;Ensino Fundamental Incompleto;Parda
Assaré;AIS 33;HOMICIDIO DOLOSO;2021-01-04;18:29:59;Segunda;Arma de fogo;Masculino;23;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 18;HOMICIDIO DOLOSO;2021-01-04;20:56:00;Segunda;Arma de fogo;Masculino;28;Ensino Médio Incompleto;Não Informada
Maracanaú;AIS 14;HOMICIDIO DOLOSO;2021-01-04;22:39:00;Segunda;Arma de fogo;Masculino;30;Superior Incompleto;Não Informada
Fortaleza;AIS 05;HOMICIDIO DOLOSO;2021-01-04;23:57:00;Segunda;Arma de fogo;Masculino;16;Não Informada;Não Informada
Fortaleza;AIS 06;HOMICIDIO DOLOSO;2021-01-05;01:34:59;Terça;Arma de fogo;Masculino;27;Ensino Médio Incompleto;Não Informada
Itaitinga;AIS 25;HOMICIDIO DOLOSO;2021-01-05;13:00:00;Terça;Arma de fogo;Masculino;48;Não Informada;Não Informada
São João do Jaguaribe;AIS 01;HOMICIDIO DOLOSO;2021-01-05;16:00:00;Terça;Arma de fogo;Masculino;60;Superior Completo;Não Informada
Sobral;AIS 03;HOMICIDIO DOLOSO;2021-01-05;17:30:00;Terça;Arma de fogo;Masculino;16;Não Informada;Parda
Fortaleza;AIS 16;HOMICIDIO DOLOSO;2021-01-05;19:04:00;Terça;Arma de fogo;Masculino;29;Ensino Médio Completo;Branca
Itarema;AIS 11;HOMICIDIO DOLOSO;2021-01-05;19:30:00;Terça;Arma de fogo;Masculino;32;Alfabetizado;Não Informada
Juazeiro do Norte;AIS 02;HOMICIDIO DOLOSO;2021-01-05;19:40:00;Terça;Arma de fogo;Masculino;20;Alfabetizado;Não Informada
Fortaleza;AIS 19;HOMICIDIO DOLOSO;2021-01-05;20:30:00;Terça;Arma de fogo;Masculino;21;Não Informada;Não Informada
Cariré;AIS 03;HOMICIDIO DOLOSO;2021-01-06;02:40:00;Quarta;Arma de fogo;Masculino;50;Superior Completo;Não Informada
Quixeré;AIS 01;HOMICIDIO DOLOSO;2021-01-06;07:00:00;Quarta;Arma de fogo;Masculino;29;Ensino Fundamental Incompleto;Não Informada
Aquiraz;AIS 15;HOMICIDIO DOLOSO;2021-01-06;07:32:00;Quarta;Arma de fogo;Masculino;32;Ensino Fundamental Completo;Não Informada
São Benedito;AIS 27;HOMICIDIO DOLOSO;2021-01-06;09:29:59;Quarta;Arma de fogo;Masculino;28;Alfabetizado;Não Informada
Redenção;AIS 29;HOMICIDIO DOLOSO;2021-01-06;15:19:59;Quarta;Arma de fogo;Masculino;17;Ensino Fundamental Incompleto;Não Informada
Forquilha;AIS 03;HOMICIDIO DOLOSO;2021-01-06;15:29:59;Quarta;Arma de fogo;Masculino;31;Alfabetizado;Não Informada
Jucás;AIS 10;HOMICIDIO DOLOSO;2021-01-06;18:29:59;Quarta;Arma de fogo;Masculino;35;Ensino Fundamental Completo;Não Informada
Itaitinga;AIS 25;HOMICIDIO DOLOSO;2021-01-06;19:10:00;Quarta;Arma de fogo;Masculino;13;Ensino Fundamental Incompleto;Não Informada
Caucaia;AIS 12;HOMICIDIO DOLOSO;2021-01-06;19:35:59;Quarta;Arma de fogo;Masculino;21;Alfabetizado;Não Informada
Fortaleza;AIS 19;HOMICIDIO DOLOSO;2021-01-06;20:34:59;Quarta;Arma de fogo;Masculino;39;Ensino Fundamental Incompleto;Parda
Fortaleza;AIS 17;HOMICIDIO DOLOSO;2021-01-06;21:09:00;Quarta;Arma de fogo;Masculino;19;Alfabetizado;Não Informada
Fortaleza;AIS 17;HOMICIDIO DOLOSO;2021-01-06;21:09:00;Quarta;Arma de fogo;Masculino;17;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 18;HOMICIDIO DOLOSO;2021-01-06;22:53:00;Quarta;Arma de fogo;Masculino;19;Alfabetizado;Parda
Crato;AIS 02;LESAO CORPORAL SEGUIDA DE MORTE;2021-01-07;04:59:59;Quinta;Outros meios;Masculino;31;Ensino Fundamental Completo;Não Informada
Nova Olinda;AIS 02;HOMICIDIO DOLOSO;2021-01-07;07:59:59;Quinta;Arma de fogo;Masculino;54;Alfabetizado;Parda
Aracoiaba;AIS 29;HOMICIDIO DOLOSO;2021-01-07;10:20:00;Quinta;Arma de fogo;Masculino;57;Alfabetizado;Parda
Fortaleza;AIS 20;HOMICIDIO DOLOSO;2021-01-07;12:00:00;Quinta;Arma de fogo;Masculino;19;Ensino Médio Completo;Não Informada
Fortaleza;AIS 17;HOMICIDIO DOLOSO;2021-01-07;13:40:00;Quinta;Arma de fogo;Masculino;25;Ensino Fundamental Incompleto;Não Informada
Jati;AIS 32;HOMICIDIO DOLOSO;2021-01-07;19:30:00;Quinta;Arma de fogo;Masculino;58;Não Alfabetizado;Não Informada
Aquiraz;AIS 15;HOMICIDIO DOLOSO;2021-01-07;23:17:00;Quinta;Arma de fogo;Masculino;23;Ensino Fundamental Incompleto;Parda
Fortaleza;AIS 06;HOMICIDIO DOLOSO;2021-01-07;23:29:00;Quinta;Arma de fogo;Masculino;43;Alfabetizado;Não Informada
Cruz;AIS 11;HOMICIDIO DOLOSO;2021-01-08;01:00:00;Sexta;Arma de fogo;Masculino;34;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 16;HOMICIDIO DOLOSO;2021-01-08;01:49:00;Sexta;Arma de fogo;Masculino;30;Alfabetizado;Não Informada
Fortaleza;AIS 21;HOMICIDIO DOLOSO;2021-01-08;08:23:00;Sexta;Arma de fogo;Masculino;34;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 06;HOMICIDIO DOLOSO;2021-01-08;18:19:59;Sexta;Arma de fogo;Feminino;24;Ensino Fundamental Incompleto;Parda
Itaitinga;AIS 25;HOMICIDIO DOLOSO;2021-01-08;22:39:00;Sexta;Arma de fogo;Masculino;25;Ensino Médio Incompleto;Não Informada
Maracanaú;AIS 14;HOMICIDIO DOLOSO;2021-01-09;00:29:59;Sábado;Arma de fogo;Masculino;18;Ensino Fundamental Incompleto;Não Informada
Horizonte;AIS 25;HOMICIDIO DOLOSO;2021-01-09;03:40:00;Sábado;Arma de fogo;Masculino;31;Ensino Fundamental Completo;Não Informada
Icó;AIS 34;HOMICIDIO DOLOSO;2021-01-09;05:50:00;Sábado;Arma de fogo;Masculino;29;Alfabetizado;Parda
Sobral;AIS 03;HOMICIDIO DOLOSO;2021-01-09;06:45:00;Sábado;Arma de fogo;Masculino;28;Ensino Fundamental Completo;Não Informada
Aquiraz;AIS 15;HOMICIDIO DOLOSO;2021-01-09;11:19:59;Sábado;Arma de fogo;Masculino;36;Não Alfabetizado;Não Informada
Forquilha;AIS 03;HOMICIDIO DOLOSO;2021-01-09;12:15:00;Sábado;Arma de fogo;Masculino;15;Ensino Médio Incompleto;Não Informada
Fortaleza;AIS 19;HOMICIDIO DOLOSO;2021-01-09;15:15:00;Sábado;Arma de fogo;Masculino;25;Alfabetizado;Preta
Fortaleza;AIS 08;HOMICIDIO DOLOSO;2021-01-09;19:11:00;Sábado;Arma de fogo;Masculino;33;Ensino Fundamental Completo;Não Informada
Fortaleza;AIS 19;HOMICIDIO DOLOSO;2021-01-09;21:00:00;Sábado;Arma de fogo;Masculino;25;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 19;HOMICIDIO DOLOSO;2021-01-09;22:39:00;Sábado;Arma de fogo;Masculino;Não Informada;Não Informada;Não Informada
Caucaia;AIS 12;HOMICIDIO DOLOSO;2021-01-10;04:30:00;Domingo;Arma de fogo;Masculino;37;Alfabetizado;Não Informada
Caucaia;AIS 12;HOMICIDIO DOLOSO;2021-01-10;04:30:00;Domingo;Arma de fogo;Feminino;38;Ensino Fundamental Incompleto;Não Informada
São Benedito;AIS 27;HOMICIDIO DOLOSO;2021-01-10;07:59:59;Domingo;Arma branca;Masculino;61;Alfabetizado;Não Informada
Fortaleza;AIS 20;HOMICIDIO DOLOSO;2021-01-10;10:40:00;Domingo;Arma de fogo;Masculino;23;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 20;HOMICIDIO DOLOSO;2021-01-10;12:29:59;Domingo;Arma de fogo;Masculino;38;Ensino Fundamental Incompleto;Não Informada
Aquiraz;AIS 15;HOMICIDIO DOLOSO;2021-01-10;12:40:00;Domingo;Arma de fogo;Masculino;31;Alfabetizado;Não Informada
Redenção;AIS 29;HOMICIDIO DOLOSO;2021-01-10;13:00:00;Domingo;Arma de fogo;Masculino;27;Alfabetizado;Parda
Fortaleza;AIS 16;HOMICIDIO DOLOSO;2021-01-10;13:56:00;Domingo;Arma branca;Masculino;35;Ensino Fundamental Completo;Não Informada
Caucaia;AIS 26;HOMICIDIO DOLOSO;2021-01-10;13:59:59;Domingo;Arma branca;Masculino;37;Alfabetizado;Não Informada
Sobral;AIS 03;HOMICIDIO DOLOSO;2021-01-10;14:30:00;Domingo;Arma de fogo;Masculino;16;Alfabetizado;Não Informada
Maracanaú;AIS 14;HOMICIDIO DOLOSO;2021-01-10;14:47:00;Domingo;Arma de fogo;Masculino;22;Ensino Fundamental Incompleto;Não Informada
Cascavel;AIS 15;HOMICIDIO DOLOSO;2021-01-10;15:29:59;Domingo;Arma de fogo;Masculino;39;Alfabetizado;Não Informada
Barreira;AIS 29;HOMICIDIO DOLOSO;2021-01-10;20:19:59;Domingo;Arma de fogo;Masculino;28;Alfabetizado;Não Informada
Aquiraz;AIS 15;HOMICIDIO DOLOSO;2021-01-10;20:41:59;Domingo;Arma de fogo;Masculino;35;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 19;HOMICIDIO DOLOSO;2021-01-10;21:59:00;Domingo;Arma de fogo;Masculino;30;Alfabetizado;Não Informada
Itaitinga;AIS 25;HOMICIDIO DOLOSO;2021-01-10;22:30:00;Domingo;Arma de fogo;Feminino;32;Ensino Fundamental Completo;Não Informada
Beberibe;AIS 30;HOMICIDIO DOLOSO;2021-01-10;22:59:59;Domingo;Arma de fogo;Masculino;24;Alfabetizado;Não Informada
Caucaia;AIS 12;HOMICIDIO DOLOSO;2021-01-11;00:04:00;Segunda;Arma de fogo;Feminino;40;Alfabetizado;Parda
Caucaia;AIS 12;HOMICIDIO DOLOSO;2021-01-11;00:04:00;Segunda;Arma de fogo;Feminino;60;Ensino Fundamental Completo;Não Informada
Araripe;AIS 33;HOMICIDIO DOLOSO;2021-01-11;00:29:59;Segunda;Arma de fogo;Masculino;19;Alfabetizado;Não Informada
Fortaleza;AIS 19;HOMICIDIO DOLOSO;2021-01-11;01:03:00;Segunda;Arma de fogo;Masculino;21;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 20;HOMICIDIO DOLOSO;2021-01-11;03:35:59;Segunda;Arma de fogo;Masculino;23;Ensino Fundamental Incompleto;Parda
Sobral;AIS 03;HOMICIDIO DOLOSO;2021-01-11;13:30:00;Segunda;Arma de fogo;Masculino;37;Ensino Fundamental Completo;Não Informada
Missão Velha;AIS 02;HOMICIDIO DOLOSO;2021-01-11;16:00:00;Segunda;Arma de fogo;Masculino;38;Superior Incompleto;Não Informada
Forquilha;AIS 03;HOMICIDIO DOLOSO;2021-01-11;18:29:59;Segunda;Arma de fogo;Masculino;15;Ensino Médio Incompleto;Não Informada
Jaguaretama;AIS 09;HOMICIDIO DOLOSO;2021-01-11;21:00:00;Segunda;Arma de fogo;Masculino;18;Ensino Médio Incompleto;Não Informada
Caucaia;AIS 12;HOMICIDIO DOLOSO;2021-01-11;21:29:59;Segunda;Arma de fogo;Masculino;28;Ensino Médio Completo;Preta
Cariré;AIS 03;HOMICIDIO DOLOSO;2021-01-11;22:00:00;Segunda;Arma de fogo;Masculino;21;Alfabetizado;Não Informada
Cariré;AIS 03;HOMICIDIO DOLOSO;2021-01-11;22:00:00;Segunda;Arma de fogo;Masculino;27;Não Informada;Não Informada
Fortaleza;AIS 20;HOMICIDIO DOLOSO;2021-01-11;22:20:00;Segunda;Arma de fogo;Masculino;24;Ensino Fundamental Completo;Não Informada
Fortaleza;AIS 16;HOMICIDIO DOLOSO;2021-01-11;22:45:00;Segunda;Arma de fogo;Masculino;52;Ensino Fundamental Completo;Parda
Aratuba;AIS 29;HOMICIDIO DOLOSO;2021-01-12;04:10:00;Terça;Arma de fogo;Masculino;74;Alfabetizado;Branca
Aratuba;AIS 29;HOMICIDIO DOLOSO;2021-01-12;04:10:00;Terça;Arma de fogo;Masculino;36;Alfabetizado;Branca
Caucaia;AIS 12;HOMICIDIO DOLOSO;2021-01-12;05:48:00;Terça;Arma de fogo;Masculino;34;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 17;HOMICIDIO DOLOSO;2021-01-12;13:11:59;Terça;Arma de fogo;Masculino;19;Ensino Médio Incompleto;Não Informada
Caucaia;AIS 26;HOMICIDIO DOLOSO;2021-01-12;13:19:00;Terça;Arma de fogo;Masculino;25;Alfabetizado;Não Informada
Pacajus;AIS 25;HOMICIDIO DOLOSO;2021-01-12;14:18:00;Terça;Arma de fogo;Masculino;25;Não Alfabetizado;Não Informada
Forquilha;AIS 03;HOMICIDIO DOLOSO;2021-01-12;14:40:00;Terça;Arma de fogo;Masculino;26;Não Informada;Não Informada
Maracanaú;AIS 14;HOMICIDIO DOLOSO;2021-01-12;15:23:00;Terça;Arma de fogo;Masculino;17;Alfabetizado;Parda
Fortaleza;AIS 20;HOMICIDIO DOLOSO;2021-01-12;15:32:00;Terça;Arma de fogo;Masculino;39;Alfabetizado;Não Informada
Caucaia;AIS 26;HOMICIDIO DOLOSO;2021-01-12;16:18:00;Terça;Arma de fogo;Masculino;21;Ensino Fundamental Incompleto;Não Informada
Morada Nova;AIS 09;HOMICIDIO DOLOSO;2021-01-12;19:30:00;Terça;Arma de fogo;Feminino;38;Ensino Médio Incompleto;Não Informada
Morada Nova;AIS 09;HOMICIDIO DOLOSO;2021-01-12;19:30:00;Terça;Arma de fogo;Feminino;56;Superior Completo;Não Informada
Caucaia;AIS 26;HOMICIDIO DOLOSO;2021-01-12;20:41:00;Terça;Arma de fogo;Masculino;Não Informada;Não Informada;Não Informada
Maracanaú;AIS 14;HOMICIDIO DOLOSO;2021-01-12;23:08:00;Terça;Arma de fogo;Masculino;19;Ensino Fundamental Completo;Não Informada
Ibicuitinga;AIS 09;HOMICIDIO DOLOSO;2021-01-13;15:00:00;Quarta;Arma de fogo;Masculino;23;Ensino Fundamental Completo;Não Informada
Fortaleza;AIS 16;HOMICIDIO DOLOSO;2021-01-13;17:12:00;Quarta;Arma de fogo;Masculino;21;Alfabetizado;Não Informada
Maracanaú;AIS 14;HOMICIDIO DOLOSO;2021-01-13;18:00:00;Quarta;Arma de fogo;Masculino;33;Alfabetizado;Não Informada
Acaraú;AIS 11;HOMICIDIO DOLOSO;2021-01-13;23:45:00;Quarta;Arma de fogo;Masculino;25;Não Informada;Não Informada
Fortaleza;AIS 20;HOMICIDIO DOLOSO;2021-01-14;00:29:59;Quinta;Arma de fogo;Masculino;24;Ensino Médio Completo;Não Informada
Chorozinho;AIS 25;HOMICIDIO DOLOSO;2021-01-14;01:04:59;Quinta;Outros meios;Feminino;28;Alfabetizado;Não Informada
Quixadá;AIS 09;HOMICIDIO DOLOSO;2021-01-14;04:45:00;Quinta;Arma de fogo;Feminino;18;Alfabetizado;Não Informada
Fortaleza;AIS 21;HOMICIDIO DOLOSO;2021-01-14;10:11:59;Quinta;Arma de fogo;Masculino;36;Ensino Médio Completo;Não Informada
Fortaleza;AIS 17;HOMICIDIO DOLOSO;2021-01-14;13:20:00;Quinta;Arma de fogo;Masculino;46;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 20;HOMICIDIO DOLOSO;2021-01-14;19:20:00;Quinta;Arma de fogo;Masculino;19;Ensino Fundamental Completo;Parda
Fortaleza;AIS 21;HOMICIDIO DOLOSO;2021-01-14;19:45:00;Quinta;Arma de fogo;Masculino;48;Não Alfabetizado;Não Informada
Paraipaba;AIS 23;HOMICIDIO DOLOSO;2021-01-14;19:59:59;Quinta;Arma de fogo;Masculino;44;Não Informada;Não Informada
Caucaia;AIS 12;HOMICIDIO DOLOSO;2021-01-14;20:13:59;Quinta;Arma de fogo;Masculino;18;Ensino Médio Incompleto;Não Informada
Fortaleza;AIS 06;ROUBO SEGUIDO DE MORTE (LATROCINIO);2021-01-15;14:30:00;Sexta;Arma de fogo;Masculino;63;Não Informada;Branca
Aquiraz;AIS 15;HOMICIDIO DOLOSO;2021-01-15;16:56:59;Sexta;Arma de fogo;Masculino;44;Alfabetizado;Não Informada
Juazeiro do Norte;AIS 02;HOMICIDIO DOLOSO;2021-01-15;22:30:00;Sexta;Arma de fogo;Masculino;28;Ensino Fundamental Completo;Não Informada
Maracanaú;AIS 14;HOMICIDIO DOLOSO;2021-01-15;22:30:00;Sexta;Arma de fogo;Masculino;21;Ensino Médio Completo;Não Informada
Jaguaruana;AIS 01;HOMICIDIO DOLOSO;2021-01-16;01:40:00;Sábado;Arma de fogo;Masculino;58;Alfabetizado;Não Informada
Fortaleza;AIS 21;HOMICIDIO DOLOSO;2021-01-16;06:08:00;Sábado;Arma de fogo;Masculino;18;Ensino Fundamental Completo;Não Informada
Horizonte;AIS 25;HOMICIDIO DOLOSO;2021-01-16;07:34:59;Sábado;Arma de fogo;Masculino;21;Não Informada;Não Informada
Pacatuba;AIS 24;HOMICIDIO DOLOSO;2021-01-16;08:30:00;Sábado;Arma de fogo;Feminino;25;Ensino Fundamental Incompleto;Não Informada
Maracanaú;AIS 14;HOMICIDIO DOLOSO;2021-01-16;12:00:00;Sábado;Arma branca;Feminino;20;Ensino Fundamental Completo;Parda
Fortaleza;AIS 17;HOMICIDIO DOLOSO;2021-01-16;12:00:00;Sábado;Arma de fogo;Masculino;24;Ensino Médio Incompleto;Não Informada
Fortaleza;AIS 05;HOMICIDIO DOLOSO;2021-01-16;15:30:00;Sábado;Arma de fogo;Feminino;18;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 20;HOMICIDIO DOLOSO;2021-01-16;16:03:00;Sábado;Arma de fogo;Masculino;31;Alfabetizado;Não Informada
Pereiro;AIS 31;LESAO CORPORAL SEGUIDA DE MORTE;2021-01-16;16:59:59;Sábado;Outros meios;Masculino;20;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 17;HOMICIDIO DOLOSO;2021-01-16;19:06:59;Sábado;Arma de fogo;Masculino;29;Ensino Médio Completo;Não Informada
Caucaia;AIS 12;HOMICIDIO DOLOSO;2021-01-16;19:59:59;Sábado;Arma de fogo;Masculino;28;Ensino Médio Completo;Não Informada
Tejuçuoca;AIS 11;HOMICIDIO DOLOSO;2021-01-16;20:30:00;Sábado;Arma branca;Masculino;22;Alfabetizado;Não Informada
Fortaleza;AIS 21;HOMICIDIO DOLOSO;2021-01-16;20:30:00;Sábado;Arma branca;Masculino;22;Ensino Médio Completo;Não Informada
Fortaleza;AIS 16;HOMICIDIO DOLOSO;2021-01-16;23:19:59;Sábado;Arma de fogo;Masculino;26;Ensino Fundamental Completo;Não Informada
Fortaleza;AIS 21;HOMICIDIO DOLOSO;2021-01-16;23:34:59;Sábado;Arma de fogo;Masculino;32;Não Informada;Não Informada
Independência;AIS 07;HOMICIDIO DOLOSO;2021-01-17;00:41:00;Domingo;Arma de fogo;Masculino;20;Não Informada;Parda
Cascavel;AIS 15;HOMICIDIO DOLOSO;2021-01-17;01:14:59;Domingo;Arma de fogo;Feminino;22;Não Informada;Não Informada
Ararendá;AIS 07;HOMICIDIO DOLOSO;2021-01-17;04:59:59;Domingo;Arma de fogo;Masculino;42;Alfabetizado;Não Informada
Horizonte;AIS 25;HOMICIDIO DOLOSO;2021-01-17;07:00:00;Domingo;Arma de fogo;Masculino;35;Ensino Fundamental Incompleto;Não Informada
Aquiraz;AIS 15;HOMICIDIO DOLOSO;2021-01-17;09:00:00;Domingo;Arma de fogo;Masculino;41;Ensino Médio Completo;Parda
Fortaleza;AIS 20;HOMICIDIO DOLOSO;2021-01-17;16:59:59;Domingo;Arma de fogo;Masculino;25;Ensino Médio Completo;Não Informada
Pacatuba;AIS 24;HOMICIDIO DOLOSO;2021-01-17;18:00:00;Domingo;Arma de fogo;Masculino;23;Ensino Fundamental Incompleto;Não Informada
Chorozinho;AIS 25;HOMICIDIO DOLOSO;2021-01-17;19:00:00;Domingo;Arma de fogo;Feminino;23;Alfabetizado;Não Informada
Canindé;AIS 04;HOMICIDIO DOLOSO;2021-01-17;19:30:00;Domingo;Arma de fogo;Masculino;33;Ensino Fundamental Incompleto;Não Informada
Maracanaú;AIS 14;HOMICIDIO DOLOSO;2021-01-17;21:19:59;Domingo;Arma de fogo;Masculino;30;Ensino Fundamental Completo;Não Informada
